FH1,FH2,Heights
945.3333333333333,2519.333333333333,1
1019.3333333333333,2668.6666666666665,2
1094.0,2844.0,3
1210.0,3128.0,4
1308.0,3372.6666666666665,5
1390.6666666666665,3626.0,6
1449.3333333333333,3765.333333333333,7
1486.0,3838.0,8
1502.0,3840.6666666666665,9
1499.3333333333333,3843.333333333333,10
