FH1,FH2,FH1_err,FH2_err,Heights
948.5720285594289,2539.888702225956,3.527929441411158,1.027478355541787,1
1019.7921041579168,2669.870852582949,0.91293847624044,1.5943785050202912,2
1097.5167996640066,2843.5111297774047,4.188587198862351,4.295017358015875,3
1215.4819403611928,3128.832423351533,3.3811606299522334,1.5635876076426367,4
1306.2158756824863,3389.017219655607,3.5592894309514285,6.218712816087199,5
1386.1455270894583,3628.365182696346,3.4301063934081504,1.3694077143605894,6
1439.7259554808902,3768.04913901722,0.6562158753465039,3.488333019716165,7
1485.1480470390595,3834.1978160436797,0.3118278539461989,4.07597466265136,8
1501.354472910542,3846.6558168836623,0.40827849842974007,6.666118135540785,9
1497.6060478790425,3840.702435951281,0.0,2.865230900781246,10
