Frequency,T60,T60Err,EffectiveArea,EAErr
300,3.4715975987109458,0.29539420565822955,2.7825805627895632,0.23676654671337982
450,5.022633511129821,0.5434780981104368,1.9232938215766857,0.2081115546140897
650,6.3853753720260364,1.2359541159585932,1.512831969490769,0.29282395951807433
900,2.69941594357787,0.22597846359768362,3.5785518800768457,0.29957430520786277
1300,6.142999529906993,1.0165749999744915,1.572521689603036,0.2602289368223828
1800,4.527954581046133,0.5473710056412963,2.1334136257542067,0.25790204845829623
2500,3.8456979605234856,0.5097459214885721,2.5118977359015107,0.3329511675685207
3500,3.7737958701132706,0.8721254389785351,2.5597568953060663,0.59156064154846
5000,8.816424733809722,0.8015679592703663,1.0956822398715989,0.0996167725058261
