Frequency,T60,T60Err,EffectiveArea,EAErr
300,0.11620965781059518,0.008724295259752622,0.13854270207249603,0.010400920730137432
450,0.12272334231856505,0.03506850840210094,0.1311893865977643,0.03748770217020242
650,0.14604435287387765,0.03915713489985889,0.11024048299836549,0.029557469215673513
900,0.1444467939223048,0.034104067520985715,0.11145972550044887,0.026315779679973037
1300,0.17484154811429617,0.05542116510568752,0.09208337591174394,0.029188531186864767
1800,0.19449681706986968,0.06359614352765168,0.08277770424498179,0.027066472548814197
2500,0.1498574296952151,0.035600949474937124,0.10743544736316846,0.025522951655933494
3500,0.19000056706841773,0.0933905805886359,0.08473658920292862,0.0416503981270362
5000,0.25189254401916245,0.07344248915687684,0.06391614353926732,0.018635568182895166
