Frequency,T60,T60Err,EffectiveArea,EAErr
300,0.10888253459908978,0.012707107620026737,0.14786577167110315,0.01725663606988366
450,0.06310070475152749,0.01246588869291574,0.25514770498043077,0.05040582198033151
650,0.13514869372287402,0.027305875886105044,0.11912804746018098,0.02406901309140199
900,0.19529671355201886,0.06528932858274884,0.08243866323798446,0.027559936233303325
1300,0.20247439760758956,0.022158963125906476,0.07951622620062314,0.008702320614904252
1800,0.3034331026454289,0.11969321599178981,0.05305947129576484,0.020930012918318044
2500,0.2821262436701393,0.11768592906780068,0.05706665140597146,0.023804740041668417
3500,0.3188596684403734,0.141092265565281,0.050492431604001034,0.02234240411700329
5000,0.36148846897703074,0.158859353527776,0.04453807349805951,0.01957265630988599
