Frequency,T60,T60Err,EffectiveArea,EAErr
300,0.10539146792109096,0.013478330150056056,0.15276378930459952,0.019536693319070347
450,0.07121769495940168,0.009253378243405075,0.22606741216741089,0.029373139280698537
650,0.12917857932495314,0.025343632620043688,0.12463366669716888,0.024451963145656525
900,0.13072501699406447,0.04195042421012789,0.12315928787166282,0.039522537387530816
1300,0.12694741144341554,0.029845902766847465,0.12682416929136264,0.029816927987093192
1800,0.13555495067601478,0.03253982112578991,0.11877102178643446,0.02851085692248135
2500,0.1399001273774842,0.044351277183158164,0.11508209679150846,0.03648344050357657
3500,0.11904977068014702,0.0386148941902989,0.1352375557551987,0.04386555199734213
5000,0.2862801727516213,0.12355471726474318,0.056238613541596795,0.024271838069350883
