Angle,Magnitude
0,12.399999999999997
19,4.899999999999997
38,0.6000000000000022
57,-1.800000000000002
76,0.6000000000000008
95,2.600000000000002
114,4.400000000000001
133,3.700000000000004
152,-20.000000000000004
171,-21.499999999999996
189,-21.499999999999996
208,-20.000000000000004
227,3.700000000000004
246,4.400000000000001
265,2.600000000000002
284,0.6000000000000008
303,-0.800000000000002
322,0.6000000000000022
341,4.899999999999997
360,12.399999999999997
