Height,Harmonic1,Harmonic2,Harmonic3,Harmonic4,Error1,Error2,Error3,Error4
10,865.9596214320269,2585.7454765360426,4268.395924044509,5997.914834300919,3.2076163661116084,18.092372431360054,7.002635243122592,5.4883581573896185
9,949.4000000000001,2833.3333333333335,4685.200000000001,6594.200000000001,6.489992295835143,24.30006858700827,1.8330302779825542,31.050281802263772
8,1084.6000000000001,3210.2666666666664,5399.533333333334,7825.933333333333,1.7776388834631383,19.61665958651802,35.95348847237668,429.09343193916726
7,1194.6666666666667,3579.9333333333343,5996.000000000001,8450.4,6.4010415819095,16.620870414431796,24.951152278001288,75.45806782578074
6,1383.5333333333335,4162.866666666668,6885.0,9709.199999999999,4.518111699961983,27.500060605993507,94.57758719696764,3.7363083384547178
5,1703.0,4979.133333333335,8416.799999999997,11854.200000000003,31.28641877876081,26.733000829187343,80.3621801595748,187.6450905299681
